# retail_sha256=5ba821f37356d2da0e1eb907de28b2708714d6e2604b5caef3daf4284b9af7d3
# Initial discovery generated from exact vtable topology and effective root callers.
# Manually maintained after bootstrap. Never replace this wall from generated output;
# review additions/removals and their source/static-library disposition explicitly.
rva	signals	status	note
0x0019f0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x023930	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x023d40	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x024150	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x0245c0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x024fb0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x0256f0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x025be0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x0260a0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x0296f0	file-write	target	initial retail call/vtable census
0x036a70	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x03a2a7	stdio-read	target	initial retail call/vtable census
0x03af3e	stdio-read	target	initial retail call/vtable census
0x03d2d2	stdio-read	target	initial retail call/vtable census
0x049700	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x0498d0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x049ba0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x049ca0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x04a2c0	archive-read,archive-write	target	initial retail call/vtable census
0x04a5b0	archive-read,archive-write	target	initial retail call/vtable census
0x04a950	archive-read,archive-write	target	initial retail call/vtable census
0x04ac10	archive-read,archive-write	target	initial retail call/vtable census
0x04add0	archive-read	target	initial retail call/vtable census
0x04b950	archive-vslot2	target	initial retail call/vtable census; slot-2 class=CDib
0x062b20	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x066f70	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x0671b0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x069390	archive-read,archive-vslot2,archive-write	reconstructed	initial retail call/vtable census; slot-2 class=CObject; CTextPointerVector::Serialize
0x06f6a0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x06f8b0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x06fac0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x06fcd0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x06fee0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x0700f0	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x070300	archive-read,archive-vslot2,archive-write	target	initial retail call/vtable census; slot-2 class=CObject
0x078af0	file-write	target	initial retail call/vtable census
0x07a800	file-read,stdio-read	target	initial retail call/vtable census
